Tunisia,#00007f,#00007f
Andorra,#00007f,#00007f
Somalia,#00007f,#00007f
Czechia,#000083,#00007f
Venezuela,#00007f,#00007f
Burkina Faso,#00007f,#00007f
Bahamas,#00007f,#00007f
Guatemala,#00007f,#00007f
CAR,#00007f,#00007f
Guadeloupe,#00007f,#00007f
Anguilla,#00007f,#00007f
Zambia,#00007f,#00007f
Diamond Princess,#000080,#00007f
Isle of Man,#00007f,#00007f
Turks and Caicos,#00007f,#00007f
Poland,#000081,#000080
Myanmar,#00007f,#00007f
St. Vincent Grenadines,#00007f,#00007f
Hungary,#000080,#00007f
Libya,#00007f,#00007f
Portugal,#000086,#000082
Cameroon,#00007f,#00007f
New Zealand,#000080,#00007f
Maldives,#00007f,#00007f
Croatia,#000080,#00007f
Barbados,#00007f,#00007f
Ukraine,#000080,#00007f
Saint Lucia,#00007f,#00007f
Iceland,#000081,#00007f
Russia,#000081,#00007f
Rwanda,#00007f,#00007f
Albania,#00007f,#00007f
Liechtenstein,#00007f,#00007f
China,#000aff,#0000f9
Bolivia,#00007f,#00007f
Tanzania,#00007f,#00007f
Réunion,#00007f,#00007f
Luxembourg,#000082,#000080
British Virgin Islands,#00007f,#00007f
Eswatini,#00007f,#00007f
Grenada,#00007f,#00007f
Lebanon,#000080,#00007f
Switzerland,#000095,#000088
Guinea,#00007f,#00007f
Brazil,#000085,#000082
Liberia,#00007f,#00007f
French Guiana,#00007f,#00007f
Malaysia,#000083,#000080
Sri Lanka,#00007f,#00007f
